System	Item Type	Item No.	Description	Qty per Set	Head Style	Construct	Thread	Color	Guidewire	Pre-Drill Diameter	Driver	2.0mm Polyaxial Locking (MMSL20xx)	2.0mm Non-Locking (MMSN20xx)	2.0mm Locking Pegs (MPSP20xx)	2.4mm Polyaxial Locking (MMSL24xx)	2.4mm Non-Locking (MMSN24xx)	2.7mm Polyaxial Locking (T8) (MMSL27xx)	2.7mm Non-Locking (T8) (MMSN27xx)	2.7mm Polyaxial Locking (MPSL27xx)	2.7mm Non-Locking (MPSN27xx)	3.5mm Polyaxial Locking (MPSL35xx)	3.5mm Non-Locking (MPSN35xx)	3.5mm Cross-Plate  (MPSX35xx)	4.0mm Polyaxial Locking (MPSL40xx)	4.0mm Non-Locking (MPSN40xx)	"4.0mm Cancellous, Non-Locking (MPSC40xx)"	4.5mm Polyaxial Locking (MPSL45xx)	4.5mm Non-Locking (MPSN45xx)	5.5mm Polyaxial Locking (MPSL55xx)	5.5mm Non-Locking (MPSN55xx)	4.0mm Cann. Headed Screw (MSD140xx)	SYNDEX
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA402R	"PLATE, POSTEROLATERAL TIBIA, STD, RIGHT"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA503U	"PLATE, TIBIA FIBULA STRAIGHT, 3 HOLE"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA504U	"PLATE, TIBIA FIBULA STRAIGHT, 4 HOLE"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA505U	"PLATE, TIBIA FIBULA STRAIGHT, 5 HOLE"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA506U	"PLATE, TIBIA FIBULA STRAIGHT, 6 HOLE"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA507U	"PLATE, TIBIA FIBULA STRAIGHT, 7 HOLE"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA508U	"PLATE, TIBIA FIBULA STRAIGHT, 8 HOLE"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA509U	"PLATE, TIBIA FIBULA STRAIGHT, 9 HOLE"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA510U	"PLATE, TIBIA FIBULA STRAIGHT, 10 HOLE"	1															X	X	X	X		X	X	X						
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA511U	"PLATE, TIBIA FIBULA STRAIGHT, 11 HOLE"	1															X	X	X	X		X	X	X						
